"X1","X2","X3","X4","n","p","s","amplitude","rho","i","ntrials"
"0.001","0","0","Knockoff",5000,1250,0.5,5,0,1,5
"0.002","0","0","Knockoff",5000,1250,0.5,5,0,1,5
"0.003","0","0","Knockoff",5000,1250,0.5,5,0,1,5
"0.004","0","0","Knockoff",5000,1250,0.5,5,0,1,5
"0.005","0.328","0.00485436893203883","Knockoff",5000,1250,0.5,5,0,1,5
"0.006","0.328","0.00485436893203883","Knockoff",5000,1250,0.5,5,0,1,5
"0.007","0.4768","0.00666666666666667","Knockoff",5000,1250,0.5,5,0,1,5
"0.008","0.4768","0.00666666666666667","Knockoff",5000,1250,0.5,5,0,1,5
"0.009","0.5584","0.0113314447592068","Knockoff",5000,1250,0.5,5,0,1,5
"0.01","0.5584","0.0113314447592068","Knockoff",5000,1250,0.5,5,0,1,5
"0.02","0.7712","0.0223123732251521","Knockoff",5000,1250,0.5,5,0,1,5
"0.03","0.8736","0.0284697508896797","Knockoff",5000,1250,0.5,5,0,1,5
"0.04","0.9216","0.0431893687707641","Knockoff",5000,1250,0.5,5,0,1,5
"0.05","0.9392","0.0439739413680782","Knockoff",5000,1250,0.5,5,0,1,5
"0.06","0.9584","0.0537124802527646","Knockoff",5000,1250,0.5,5,0,1,5
"0.07","0.968","0.0605590062111801","Knockoff",5000,1250,0.5,5,0,1,5
"0.08","0.9728","0.0646153846153846","Knockoff",5000,1250,0.5,5,0,1,5
"0.09","0.976","0.0701219512195122","Knockoff",5000,1250,0.5,5,0,1,5
"0.1","0.9792","0.0796992481203008","Knockoff",5000,1250,0.5,5,0,1,5
"0.11","0.9808","0.0945347119645495","Knockoff",5000,1250,0.5,5,0,1,5
"0.12","0.9888","0.101744186046512","Knockoff",5000,1250,0.5,5,0,1,5
"0.13","0.9888","0.118402282453638","Knockoff",5000,1250,0.5,5,0,1,5
"0.14","0.9888","0.124645892351275","Knockoff",5000,1250,0.5,5,0,1,5
"0.15","0.9904","0.126939351198872","Knockoff",5000,1250,0.5,5,0,1,5
"0.16","0.9904","0.134265734265734","Knockoff",5000,1250,0.5,5,0,1,5
"0.17","0.9904","0.147382920110193","Knockoff",5000,1250,0.5,5,0,1,5
"0.18","0.9904","0.155525238744884","Knockoff",5000,1250,0.5,5,0,1,5
