"Target FDR","Power","FDR","Method","n","p","s","amplitude","rho","i","ntrials"
0.001,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.002,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.003,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.004,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.005,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.006,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.007,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.008,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.009,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.01,0,0,"Knockoff",1000,250,0.5,5,0,1,50
0.02,0.856,0.036036036036036,"Knockoff",1000,250,0.5,5,0,1,50
0.03,0.904,0.0423728813559322,"Knockoff",1000,250,0.5,5,0,1,50
0.04,0.984,0.0538461538461538,"Knockoff",1000,250,0.5,5,0,1,50
0.05,0.984,0.0538461538461538,"Knockoff",1000,250,0.5,5,0,1,50
0.06,0.984,0.0610687022900763,"Knockoff",1000,250,0.5,5,0,1,50
0.07,1,0.0740740740740741,"Knockoff",1000,250,0.5,5,0,1,50
0.08,1,0.0942028985507246,"Knockoff",1000,250,0.5,5,0,1,50
0.09,1,0.0942028985507246,"Knockoff",1000,250,0.5,5,0,1,50
0.1,1,0.119718309859155,"Knockoff",1000,250,0.5,5,0,1,50
0.11,1,0.143835616438356,"Knockoff",1000,250,0.5,5,0,1,50
0.12,1,0.155405405405405,"Knockoff",1000,250,0.5,5,0,1,50
0.13,1,0.183006535947712,"Knockoff",1000,250,0.5,5,0,1,50
0.14,1,0.188311688311688,"Knockoff",1000,250,0.5,5,0,1,50
0.15,1,0.188311688311688,"Knockoff",1000,250,0.5,5,0,1,50
0.16,1,0.198717948717949,"Knockoff",1000,250,0.5,5,0,1,50
0.17,1,0.208860759493671,"Knockoff",1000,250,0.5,5,0,1,50
0.18,1,0.213836477987421,"Knockoff",1000,250,0.5,5,0,1,50
0.19,1,0.213836477987421,"Knockoff",1000,250,0.5,5,0,1,50
0.2,1,0.228395061728395,"Knockoff",1000,250,0.5,5,0,1,50
0.21,1,0.233128834355828,"Knockoff",1000,250,0.5,5,0,1,50
0.22,1,0.23780487804878,"Knockoff",1000,250,0.5,5,0,1,50
0.23,1,0.242424242424242,"Knockoff",1000,250,0.5,5,0,1,50
0.24,1,0.273255813953488,"Knockoff",1000,250,0.5,5,0,1,50
0.25,1,0.285714285714286,"Knockoff",1000,250,0.5,5,0,1,50
0.26,1,0.293785310734463,"Knockoff",1000,250,0.5,5,0,1,50
0.27,1,0.293785310734463,"Knockoff",1000,250,0.5,5,0,1,50
0.28,1,0.320652173913043,"Knockoff",1000,250,0.5,5,0,1,50
0.29,1,0.335106382978723,"Knockoff",1000,250,0.5,5,0,1,50
0.3,1,0.342105263157895,"Knockoff",1000,250,0.5,5,0,1,50
0.31,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.32,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.33,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.34,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.35,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.36,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.37,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.38,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.39,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.4,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.41,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.42,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.43,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.44,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.45,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.46,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.47,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.48,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.49,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.5,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.51,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.52,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.53,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.54,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.55,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.56,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.57,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
0.58,1,0.345549738219895,"Knockoff",1000,250,0.5,5,0,1,50
